id,year,std_math_score,l2std_math_score,l1std_math_score,l1std_ita_score,l3perc_math_score,l1perc_math_score,l2std_ita_score,l3std_math_score,l3std_ita_score,l3unempl_rate_chg,dummy_Calabria,turnout_ref_2016,avg_temperature_min,l3log_tot_income_chg,l1sd_math_score_chg,share_hsgraduates_2564,l1perc_ita_score_chg,l2perc_ita_score,l2perc_math_score,l2sd_math_score_chg,l3log_tot_income
1832,2017,-.063334204,-1.1739765,1.2826401,-1.1877233,50.470165,60.904736,-1.0513253,-1.9417695,-.73759359,.90600002,1,.5208565,14.051714,-.0098724365,-1.6712197,52.112,3.7641196,59.051907,56.464218,5.3031006,18.795603
1832,2018,-.41847661,1.2826401,-.063334204,-.31893605,56.464218,55.872501,-.47055843,-1.1739765,-1.0513253,-.52600002,1,.5208565,14.051714,.026885986,3.1985803,52.112,-4.1837096,55.437675,52.366337,-1.6712197,18.78573
1832,2019,-.023847075,-.063334204,-.41847661,.22535431,52.366337,46.034069,-1.1877233,1.2826401,-.47055843,.12,1,.5208565,14.051714,.0055198669,-7.7412558,52.112,7.1354141,59.201794,60.904736,3.1985803,18.812616
1832,2020,.96433443,-.41847661,-.023847075,.36685306,60.904736,57.991764,-.31893605,-.063334204,-1.1877233,-1.1339999,1,.5208565,14.051714,-.0047569275,-3.5751717,52.112,-.052767683,55.018085,55.872501,-7.7412558,18.818136
1833,2017,-1.0417125,-1.8330764,-2.1734009,-2.9764221,46.690838,42.88213,-4.0826592,-3.7183592,-2.9556584,.93300003,1,.4921127,13.548126,-.0091247559,-.80068535,39.515713,.047731273,48.365017,49.901878,-27.212221,19.049274
1833,2018,-.16333997,-2.1734009,-1.0417125,-.99161255,49.901878,49.960632,-1.4656268,-1.8330764,-4.0826592,-.82300001,1,.4921127,13.548126,.0083503723,13.296739,39.515713,.62232488,51.036469,47.574524,-.80068535,19.04015
1833,2019,-.83945251,-1.0417125,-.16333997,-1.2905222,47.574524,49.323563,-2.9764221,-2.1734009,-1.4656268,.40700001,1,.4921127,13.548126,.030139923,-18.777531,39.515713,4.8570685,51.084202,42.88213,13.296739,19.0485
1833,2020,-.91262478,-.16333997,-.83945251,-.86627662,42.88213,54.156761,-.99161255,-1.0417125,-2.9764221,-1.391,1,.4921127,13.548126,-.020822525,12.846268,39.515713,-.27958715,51.706524,49.960632,-18.777531,19.07864
1834,2017,-.89613461,.5177936,1.1939342,-1.0548,48.808552,59.833084,-1.9190487,-1.1745504,-1.500719,1.054,1,.44879571,9.0520506,-.022285461,4.8094525,38.927502,-2.7741289,52.334389,58.053623,.65174347,17.810997
1834,2018,1.387175,1.1939342,-.89613461,-1.5367725,58.053623,52.514339,.99530166,.5177936,-1.9190487,-.90499997,1,.44879571,9.0520506,.036708832,.32713452,38.927502,-10.153005,61.362556,60.839527,4.8094525,17.788712
1834,2019,-1.1980394,-.89613461,1.387175,-1.4645871,60.839527,58.050903,-1.0548,1.1939342,.99530166,-.148,1,.44879571,9.0520506,.0069694519,.14285298,38.927502,-.23282349,58.588428,59.833084,.32713452,17.82542
1834,2020,.75924569,1.387175,-1.1980394,.24061632,59.833084,52.228909,-1.5367725,-.89613461,-1.0548,-1.271,1,.44879571,9.0520506,-.0095939636,-9.4221497,38.927502,12.784245,48.435425,52.514339,.14285298,17.83239
1835,2017,-.96597654,-1.3549087,.51413131,.48271272,48.238865,56.710308,-2.2312326,-2.2975903,-2.7217429,.97000003,1,.49561593,13.876134,.0023479462,11.199192,50.105999,20.978838,52.978382,55.052113,-20.664219,17.985796
1835,2018,-1.5623871,.51413131,-.96597654,-1.2304561,55.052113,52.548363,-3.602505,-1.3549087,-2.2312326,-.764,1,.49561593,13.876134,.019460678,-6.7901735,50.105999,-15.148429,45.962009,49.866913,11.199192,17.988144
1835,2019,-.68308151,-.96597654,-1.5623871,-1.5473144,49.866913,42.802414,.48271272,.51413131,-3.602505,.082999997,1,.49561593,13.876134,.0082321167,17.514236,50.105999,4.0621152,66.940849,56.710308,-6.7901735,18.007605
1835,2020,-1.5485203,-1.5623871,-.68308151,-.4572928,56.710308,54.908451,-1.2304561,-.96597654,.48271272,-1.267,1,.49561593,13.876134,-.018978119,-12.808476,50.105999,2.7249804,51.792419,52.548363,17.514236,18.015837
1836,2017,-1.2877383,-.73191679,-.32855481,-1.0960642,51.182564,52.584049,-2.6101913,-1.3660605,-.82554126,1.001,1,.49789202,14.582573,.001159668,-3.5911596,48.946667,-3.1027954,52.230392,56.310524,-6.122365,18.797918
1836,2018,.84893161,-.32855481,-1.2877383,-.78545731,56.310524,48.999382,1.1634789,-.73191679,-2.6101913,-.63700002,1,.49789202,14.582573,.0011863708,1.5658162,48.946667,-5.585927,61.82159,55.501865,-3.5911596,18.799078
1836,2019,-.082335651,-1.2877383,.84893161,-1.0608025,55.501865,55.306389,-1.0960642,-.32855481,1.1634789,.035999998,1,.49789202,14.582573,.025728226,-11.16573,48.946667,2.8657906,58.718796,52.584049,1.5658162,18.800264
