ID;Time;unempl_rate;ex_deaths;sh_susp;inc_pc;cigs;sh_pop_per;sh_short_term_contracts;dep_ratio;terf2020;avg_download_speed_dic2018;share_households_nointernet;share_ind_upto10k_2019;share_ind_above75k_2019;pop_2019;share_unigraduates_3034;avg_price_house_2019;share_amount_upto26k_2019;exp_games_pc_2019;dummy_sll_b_turistico;gini_index2019
1840;2020;0.26159999;4.9957795;0.27356902;11189.21;0;1;0.37372124;0.54793566;-1.2369585;78.321571;0.045651194;0.48904437;0.004327012;17513;25.573334;482.5;0.63948709;946.92834;0;0.40032414
1841;2020;0.21690001;4.977963;0.44901395;9729.9023;0.000275634;0.914895;0.35514486;0.53242838;-0.42526993;56.994381;0.12641074;0.52450764;0.003719912;14860;22.933332;690;0.70153445;1028.3643;0;0.41272932
1842;2020;0.1849;-3.2676077;0.44926265;9090.8564;0;0.29454342;0.47078297;0.56154513;0.019726047;39.907204;0.097152062;0.52566195;0.000752918;11900;23.08;427.5;0.73786086;897.50421;0;0.37525487
1843;2020;0.18180001;-22.651045;0.54275209;11574.198;0.000534902;0;0.3144967;0.5632425;0.38874716;56.490089;0.088017829;0.47096637;0.005713878;21945;30.322222;1175;0.61305511;1633.6506;1;0.41369122
1844;2020;0.2043;-2.2191091;0.41961956;13309.041;0.000455063;0;0.26049781;0.52867609;-1.1910778;80.671989;0.069404304;0.43580723;0.009310276;98956;25.322727;847.93939;0.54760945;1545.7994;0;0.4272157
1845;2020;0.1919;0.98188931;0.39595512;10154.146;0.00026;0.073514521;0.46698686;0.48668307;-0.85991687;67.456039;0.096180469;0.53047812;0.007077665;97232;23.425501;564.1875;0.64086396;1328.9871;0;0.42292237
1901;2020;0.16530001;5.2110519;0.46534544;12545.822;7.73664E-05;0;0.20817782;0.55400729;-0.69694912;121.21439;0.060480636;0.44831446;0.007460251;69204;25.584999;776.27979;0.55662805;1438.8811;0;0.43797421
1902;2020;0.1892;-10.69338;0.42130783;12145.534;0;0;0.28679672;0.566378;-1.022633;102.24616;0.05508836;0.46196654;0.007163127;60040;25.573334;522.20831;0.56317747;988.60846;0;0.43606788
1903;2020;0.1823;-0.50014967;0.39392692;12673.681;0.00011409;0;0.19934687;0.55408502;-0.11704095;87.817162;0.03066293;0.46501201;0.009397499;139131;19.6;828.86908;0.53824776;1177.5831;0;0.45405516
1904;2020;0.1846;-4.029912;0.32640734;11523.136;0;0;0.2555373;0.5739696;0.60074556;57.874115;0.008151061;0.45611417;0.005223393;16004;26.733334;341.875;0.62699455;835.1947;0;0.41971195
1905;2020;0.19459999;1.1491765;0.44444269;15382.791;0.000553073;0.11707337;0.18297176;0.5473693;-1.015597;102.03733;0.079309307;0.39397979;0.012952248;139963;20.809999;1192.1991;0.4736267;1390.8582;0;0.44039351
1906;2020;0.1974;13.950826;0.47106543;9518.5918;0.000788177;1;0.32028618;0.66376734;-2.7434101;20.935858;0.037846301;0.50489783;0.003078645;12076;20.124001;508.25;0.72054207;611.96875;0;0.39802244
1907;2020;0.36189997;-3.1303878;0.39663646;14217.726;0.000753885;0;0.14065275;0.52377152;-0.44627807;128.48441;0.057903782;0.41960126;0.011825084;84183;19.99;980.625;0.50169528;1608.9399;0;0.44546485
1908;2020;0.1735;8.8304129;0.3927339;9993.6396;0;1;0.37031502;0.65135908;-0.85578793;60.673695;0.053717971;0.50100106;0.003768696;13004;17.486;500.3125;0.68559444;883.19849;0;0.40252107
1910;2020;0.1539;-7.1054502;0.47337711;14710.95;0.000239406;0.66243029;0.2409275;0.5675422;-1.5106795;92.176376;0.10651102;0.38858029;0.011768029;32829;25.523333;978.88892;0.51658106;1670.2705;0;0.43128568
1911;2020;0.1753;-0.99503267;0.42921233;11336.006;8.79894E-05;0.52418154;0.2903308;0.57692987;-1.0003636;73.936806;0.057397585;0.46152696;0.003989428;34768;20.964445;507.29166;0.64417386;1342.2173;0;0.40855363
1912;2020;0.1311;-0.1810957;0.43505549;11212.743;0.000493218;1;0.23321076;0.68167913;-0.59903651;58.355339;0.086051092;0.44340602;0.005043762;9743;26.956667;492.08334;0.68512124;579.96234;0;0.40048957
1913;2020;0.2043;9.1548529;0.42206338;11034.284;0.000174886;1;0.26580477;0.59747899;0.20321169;48.659603;0.065506727;0.47376898;0.004601933;14881;19.556;493.625;0.65279204;847.96698;0;0.42208761
1914;2020;0.22129999;3.4924989;0.34497246;17776.98;0.001121519;0.002593536;0.15510456;0.52984148;-0.98792303;471.52954;0.023458879;0.3604328;0.02387871;873473;17.199444;781.92023;0.41211846;1864.2311;0;0.4587881
1915;2020;0.17899999;3.3264778;0.37058657;12171.291;0.000135648;0;0.21407798;0.53747314;-1.9214088;85.285408;0.066689245;0.45530108;0.007294918;55578;18.485001;644.72223;0.5918448;1718.2314;0;0.42956957
1916;2020;0.1517;-11.066884;0.4184337;12285.211;0.000450315;0.79174149;0.26772675;0.64233381;-0.3594597;21.135359;0.047709964;0.41890475;0.005484313;17986;26.6425;513.90625;0.62012905;718.46924;0;0.40187308
