ID,Time,unempl_rate,excess_deaths,sh_susp_activ,income_pc,share_firms_stws,sh_pop_per,sh_short_term_contracts,dep_ratio,avg_download_speed,share_households_nointernet,pop,share_unigraduates_3034,avg_price_house,share_amount_upto26k,exp_games_pc,dummy_llm_tourism,gini_index
807,2020,.050100002,44.34491,.36060596,25101.572,.0010206921,.0034810039,.13930148,.55546165,195.36407,.05010834,344294,22.756592,835.34381,.33857608,843.60712,0,.41465813
808,2020,.049400002,13.989676,.52213049,19686.305,.00050103798,.73953873,.12491311,.66617721,32.43195,.17314813,32659,19.627142,636.0119,.45710784,810.08032,0,.37443104
809,2020,.048800003,16.187359,.63522446,22700.768,.0025665441,0,.13253081,.57937801,60.156979,.030625315,69216,21.645714,909.03271,.40479985,603.66602,0,.379888
810,2020,.0614,16.674337,.65319574,22085.906,.0031091829,0,.13477783,.57504982,49.616451,.048415344,39070,19.129999,818.33331,.41464284,771.78516,0,.38081241
811,2020,.042600002,17.976702,.48883134,23779.49,.001478208,0,.13299809,.55483413,155.91353,.029398784,340150,23.334738,1058.6135,.37919155,771.26038,0,.40908539
812,2020,.057800002,11.829274,.57996505,21461.352,.0021458671,0,.141863,.57403696,117.95432,.020776089,97714,22.406666,862.39313,.44208407,946.03589,0,.38675836
813,2020,.046599999,-13.974556,.57130748,18076.48,.00027816399,1,.14483248,.68884176,9.6126032,.23311138,6333,25.49,1132.7778,.51103067,499.04602,1,.38201529
814,2020,.054299999,9.6976547,.45265505,21294.018,.002201162,0,.14451003,.59113085,60.421558,.043314204,84305,23.458889,695.78705,.45576471,674.95734,0,.37235445
815,2020,.051899999,6.3570852,.43419531,25085.701,.001730242,0,.14449041,.5768441,274.71298,.025103802,288765,26.75,1306.5708,.34527937,913.80908,0,.41534725
816,2020,.052099999,30.178087,.57858944,20569.547,.00077936199,1,.12222101,.58258289,44.96656,.17552878,30738,17.7575,982.08331,.43168494,801.47607,0,.37190655
817,2020,.046300001,5.7288709,.68301451,16354.278,.001362769,.62001961,.12239374,.65917099,107.02591,.39517814,6030,18.1075,916.66663,.55529529,573.83118,0,.35668078
818,2020,.0546,18.122145,.60140204,24273.361,.0023313451,.051204685,.12400572,.53944302,78.31356,.056225721,154849,18.712999,1195.1393,.35010698,1000.8146,0,.38827351
819,2020,.054699998,5.4097443,.51146829,22579.807,.001655415,.044114392,.13196017,.58888125,38.118866,.058702588,104391,20.19875,1167.8669,.40535572,706.5929,0,.38309142
820,2020,.0504,12.511042,.40623444,25240.732,.0020280201,.0091933832,.13459556,.59000975,364.78799,.03638294,875521,26.674736,1625.9198,.33961758,900.86127,0,.41004348
821,2020,.052800003,-5.9516463,.58178657,19976.855,.001402318,.64895117,.11700641,.64658123,21.539017,.24245317,37468,19.634001,1042.2758,.47985607,589.19983,0,.3554225
822,2020,.052600004,-.78699213,.51643288,22586.459,.0024249691,0,.14430018,.60679346,141.64594,.070513345,119529,21.922001,1286.25,.40845278,657.75018,0,.37300122
823,2020,.1073,3.2106595,.56189919,16208.123,.00075659802,0,.22322018,.63361537,49.90218,.071930043,52583,17.042,929.08331,.61360377,863.17926,0,.35047874
824,2020,.072300002,-.036563117,.53723091,17339.555,.00058043102,0,.19098456,.71726269,30.98184,.15889789,33389,21.37125,679.42188,.58734113,512.99896,0,.33734632
825,2020,.070700005,5.6787577,.39135313,21696.244,.001480285,0,.15970401,.62613952,88.399506,.060076922,213461,26.996666,925.58984,.42211536,644.30444,0,.3912707
826,2020,.0546,4.0369964,.38118485,12300.347,.00095751003,.35482013,.19311698,.65765625,11.18893,.12656161,10302,13.83,850.375,.69097227,620.02716,0,.39234185
827,2020,.0436,-1.3670329,.46363211,20754.803,.00083420199,.033229232,.18967511,.62386072,77.311714,.085069135,90826,23.787144,1129.1666,.45499107,631.56659,0,.39624983
828,2020,.052199997,.80939496,.43034077,20022.162,.00074384001,0,.20263502,.65896082,68.657501,.063790023,119710,24.58,1035.75,.49641857,607.44476,0,.36271524
829,2020,.068999998,3.1162124,.39027536,20921.928,.001346792,0,.17075917,.58902007,125.63388,.031528506,198987,27.620001,2010.0139,.42522058,877.73157,0,.39729378
830,2020,.041500002,10.678992,.54778254,17494.109,.00055632798,1,.21603444,.65646702,11.429194,.34414268,7575,22.879999,1104.1666,.56997454,565.31067,1,.36878943
831,2020,.045200001,7.5029883,.42209664,20677.992,.0013427,0,.1944841,.59027547,79.656761,.074634768,133934,25.436251,1344.3229,.46699351,694.22479,0,.38591605
832,2020,.076099999,4.5173206,.53013092,17337.002,.00075039599,0,.16145264,.54353309,85.767105,.014848203,84678,22.378,1948.3959,.52532083,913.50995,0,.41157734
833,2020,.054899998,16.818228,.49091369,20968.721,.001739764,.0044615348,.15720707,.62276816,107.19528,.051919475,169079,25.094444,1260.7461,.45538023,661.46167,0,.38494769
834,2020,.023800001,-4.9974709,.63991892,19931.203,.00147929,0,.17285126,.69177461,12.000116,.10496903,5581,16.73,1108.75,.55003351,325.58322,0,.3549549
835,2020,.035599999,-1.5817468,.35900009,18340.986,.00122519,.43882427,.27000716,.66132414,12.43222,.2712591,10908,18.190001,1085.625,.58195812,581.26392,0,.33046424
836,2020,.085000001,25.480251,.58098477,17631.471,.001156497,0,.14275409,.56312525,83.26001,.028141433,50812,25.807501,1778.9584,.4995949,991.05609,1,.41811967
837,2020,.078600004,19.017086,.50076926,17923.42,.000266099,0,.15521085,.56733584,87.268242,.044606887,57690,23.231667,1923.3333,.48289561,1040.3036,1,.4311631
838,2020,.070199996,12.246013,.46884868,18555.207,.001879012,0,.15511213,.56336677,85.659317,.021530759,206894,23.887142,1717.0173,.46145847,875.23993,0,.42493379
839,2020,.071199998,10.071129,.50661129,16232.779,.00041157901,.3896054,.14452133,.6055159,9.7627144,.17600907,17983,22.940001,1034.9219,.57247782,524.01453,0,.37897292
901,2020,.094700001,13.382195,.55096173,20632.02,.00024513199,0,.12417029,.60556149,109.90557,.014326022,69623,26.715,1516.9644,.40097612,890.71094,0,.42173782
902,2020,.1065,24.209848,.50590503,18679.258,.00077238202,0,.13081299,.57023597,93.093422,.012731872,77815,23.635,2045.8334,.45987332,912.91833,0,.40583783
903,2020,.076399997,21.797474,.48957762,17454.691,.000552029,0,.1052902,.74036819,20.881769,.17280203,19087,23.591667,962.70831,.50676692,779.56744,0,.38654864
904,2020,.052099999,-3.015691,.41921222,17777.395,.0025247801,0,.12711595,.63926625,40.16832,.14314789,33108,18.054285,1026.0714,.50515002,559.93469,0,.37850061
905,2020,.0614,6.9818025,.50848585,17460.184,.00083298603,0,.1191748,.65907055,58.870644,.21220005,21944,21.371666,968.80206,.51175159,783.22192,0,.36390641
906,2020,.081800006,2.7955813,.4069162,21677.725,.00089197903,0,.13205352,.60735649,77.513199,.041727342,150860,22.983999,1400.0596,.39796031,964.40137,0,.41809732
907,2020,.075999998,7.8029561,.5908618,20548.467,.00014878,0,.1409696,.61613542,67.989342,.087046124,45840,22.59,2544.375,.40549734,852.10107,0,.47181976
908,2020,.086000003,10.184628,.53096026,19555.77,.00075408298,0,.1415323,.5870949,95.762299,.05277494,113670,23.923334,2139.0874,.43146688,926.24689,0,.44170928
909,2020,.081899993,-1.0824497,.50870979,17963.445,.00072243903,0,.15094177,.57881737,70.977859,.042310283,136216,21.323076,1327.8258,.51306278,968.8017,0,.39471415
910,2020,.069499999,-2.6302598,.51721627,19799.422,.00081626198,0,.12944326,.61710006,92.193176,.015934756,132238,24.305,1425.2841,.46083602,706.8064,0,.38609353
911,2020,.032699998,-11.997069,.51690024,16899.594,.00063572801,.20508713,.13400254,.78003567,30.996946,.064202972,9904,19.959999,1366.6072,.58706284,855.43231,0,.34410915
